filename,total_gates,cx_gates,depth
tof_3.qasm,40,14,32
barenco_tof_3.qasm,46,17,39
mod5_4.qasm,55,24,49
tof_4.qasm,64,22,47
tof_5.qasm,88,29,62
barenco_tof_4.qasm,86,34,73
mod_mult_55.qasm,106,39,53
vbe_adder_3.qasm,102,42,60
barenco_tof_5.qasm,126,51,106
csla_mux_3.qasm,172,68,74
rc_adder_6.qasm,176,72,100
gf2^4_mult.qasm,210,91,106
hwb6.qasm,239,99,159
mod_red_21.qasm,247,90,155
tof_10.qasm,209,69,144
gf2^5_mult.qasm,333,144,143
csum_mux_9.qasm,388,153,75
barenco_tof_10.qasm,379,153,312
ham15-low.qasm,422,210,267
qcla_com_7.qasm,386,146,86
gf2^6_mult.qasm,474,209,192
qcla_adder_10.qasm,498,197,82
gf2^7_mult.qasm,640,286,236
gf2^8_mult.qasm,871,397,289
qcla_mod_7.qasm,861,344,243
adder_8.qasm,840,343,241
vqe_nativegates_ibm_tket_8.qasm,90,14,25
qgan_nativegates_ibm_tket_8.qasm,90,21,39
qaoa_nativegates_ibm_tket_8.qasm,159,31,49
ae_nativegates_ibm_tket_8.qasm,338,55,158
qpeexact_nativegates_ibm_tket_8.qasm,348,63,154
qpeinexact_nativegates_ibm_tket_8.qasm,356,64,160
qft_nativegates_ibm_tket_8.qasm,311,66,125
qftentangled_nativegates_ibm_tket_8.qasm,410,75,145
portfoliovqe_nativegates_ibm_tket_8.qasm,280,68,92
portfolioqaoa_nativegates_ibm_tket_8.qasm,1006,164,296
