filename,total_gates,cx_gates,depth
tof_3.qasm,33,12,27
barenco_tof_3.qasm,36,15,35
mod5_4.qasm,29,16,23
tof_4.qasm,50,19,42
barenco_tof_4.qasm,66,28,59
tof_5.qasm,71,26,53
mod_mult_55.qasm,86,37,46
vbe_adder_3.qasm,79,37,50
barenco_tof_5.qasm,96,42,88
csla_mux_3.qasm,143,66,61
rc_adder_6.qasm,142,65,88
gf2^4_mult.qasm,167,86,92
tof_10.qasm,171,66,128
mod_red_21.qasm,187,92,140
hwb6.qasm,231,92,138
gf2^5_mult.qasm,264,140,133
csum_mux_9.qasm,239,125,62
barenco_tof_10.qasm,249,115,238
qcla_com_7.qasm,272,118,64
ham15-low.qasm,340,196,229
gf2^6_mult.qasm,370,201,175
qcla_adder_10.qasm,391,175,69
gf2^7_mult.qasm,506,276,220
gf2^8_mult.qasm,674,384,274
qcla_mod_7.qasm,639,295,199
adder_8.qasm,591,284,207
