filename,total_gates,cx_gates,depth
tof_3_after_heavy.qasm,35,14,31
barenco_tof_3_after_heavy.qasm,40,18,38
mod5_4_after_heavy.qasm,51,28,46
tof_4_after_heavy.qasm,55,22,46
barenco_tof_4_after_heavy.qasm,72,34,68
tof_5_after_heavy.qasm,75,30,61
mod_mult_55_after_heavy.qasm,91,40,47
vbe_adder_3_after_heavy.qasm,89,50,58
barenco_tof_5_after_heavy.qasm,104,50,95
csla_mux_3_after_heavy.qasm,155,70,63
rc_adder_6_after_heavy.qasm,140,71,83
gf2^E4_mult_after_heavy.qasm,187,99,102
tof_10_after_heavy.qasm,175,70,136
mod_red_21_after_heavy.qasm,180,77,129
gf2^E5_mult_after_heavy.qasm,296,154,132
csum_mux_9_after_heavy.qasm,266,140,47
barenco_tof_10_after_heavy.qasm,264,130,230
qcla_com_7_after_heavy.qasm,284,132,70
gf2^E6_mult_after_heavy.qasm,403,221,166
qcla_adder_10_after_heavy.qasm,399,183,63
gf2^E7_mult_after_heavy.qasm,555,300,198
gf2^E8_mult_after_heavy.qasm,712,405,236
qcla_mod_7_after_heavy.qasm,624,292,184
adder_8_after_heavy.qasm,606,291,193
