filename,total_gates,cx_gates,depth
tof_3.qasm,53,18,37
barenco_tof_3.qasm,65,24,50
mod5_4.qasm,71,28,57
tof_4.qasm,88,30,60
tof_5.qasm,123,42,83
barenco_tof_4.qasm,125,48,96
mod_mult_55.qasm,140,48,60
vbe_adder_3.qasm,165,70,98
barenco_tof_5.qasm,185,72,142
csla_mux_3.qasm,200,80,80
rc_adder_6.qasm,229,93,124
gf2^4_mult.qasm,246,99,117
hwb6.qasm,287,116,186
mod_red_21.qasm,294,105,183
tof_10.qasm,298,102,198
gf2^5_mult.qasm,374,154,148
csum_mux_9.qasm,459,168,68
barenco_tof_10.qasm,485,192,372
ham15-low.qasm,485,236,310
qcla_com_7.qasm,486,186,98
gf2^6_mult.qasm,528,221,189
qcla_adder_10.qasm,587,233,89
gf2^7_mult.qasm,708,300,225
gf2^8_mult.qasm,928,405,267
qcla_mod_7.qasm,982,382,241
adder_8.qasm,1004,409,278
vqe_nativegates_ibm_tket_8.qasm,199,14,69
qgan_nativegates_ibm_tket_8.qasm,256,28,60
qaoa_nativegates_ibm_tket_8.qasm,284,32,56
ae_nativegates_ibm_tket_8.qasm,502,56,193
qpeexact_nativegates_ibm_tket_8.qasm,555,64,199
qpeinexact_nativegates_ibm_tket_8.qasm,571,65,212
qft_nativegates_ibm_tket_8.qasm,578,68,170
qftentangled_nativegates_ibm_tket_8.qasm,647,75,184
portfoliovqe_nativegates_ibm_tket_8.qasm,708,84,151
portfolioqaoa_nativegates_ibm_tket_8.qasm,1352,168,300
