filename,total_gates,cx_gates,depth
tof_3.qasm,45,18,33
barenco_tof_3.qasm,58,24,45
mod5_4.qasm,63,28,52
tof_4.qasm,75,30,54
barenco_tof_4.qasm,114,48,87
tof_5.qasm,105,42,75
mod_mult_55.qasm,119,48,55
vbe_adder_3.qasm,150,70,90
barenco_tof_5.qasm,170,72,129
csla_mux_3.qasm,170,80,72
rc_adder_6.qasm,200,93,111
gf2^4_mult.qasm,225,99,112
tof_10.qasm,255,102,180
mod_red_21.qasm,278,105,176
hwb6.qasm,259,116,178
gf2^5_mult.qasm,347,154,146
csum_mux_9.qasm,420,168,64
barenco_tof_10.qasm,450,192,339
qcla_com_7.qasm,443,186,94
ham15-low.qasm,443,236,285
gf2^6_mult.qasm,495,221,184
qcla_adder_10.qasm,521,233,84
gf2^7_mult.qasm,669,300,220
gf2^8_mult.qasm,883,405,262
qcla_mod_7.qasm,884,382,229
adder_8.qasm,900,409,259
