filename,total_gates,cx_gates,depth
tof_3.qasm,51,18,37
barenco_tof_3.qasm,61,24,50
mod5_4.qasm,69,28,57
tof_4.qasm,84,30,60
tof_5.qasm,117,42,83
barenco_tof_4.qasm,117,48,96
mod_mult_55.qasm,135,48,58
vbe_adder_3.qasm,186,62,99
barenco_tof_5.qasm,173,72,142
csla_mux_3.qasm,235,71,83
rc_adder_6.qasm,250,81,119
gf2^4_mult.qasm,232,99,115
hwb6.qasm,281,115,183
mod_red_21.qasm,279,105,178
tof_10.qasm,282,102,198
gf2^5_mult.qasm,353,154,144
csum_mux_9.qasm,453,168,68
barenco_tof_10.qasm,453,192,372
ham15-low.qasm,456,236,298
qcla_com_7.qasm,511,174,100
gf2^6_mult.qasm,496,221,185
qcla_adder_10.qasm,636,213,92
gf2^7_mult.qasm,665,300,220
gf2^8_mult.qasm,864,405,260
qcla_mod_7.qasm,980,366,241
adder_8.qasm,1010,385,274
vqe_nativegates_ibm_tket_8.qasm,91,14,20
qgan_nativegates_ibm_tket_8.qasm,114,28,31
qaoa_nativegates_ibm_tket_8.qasm,211,32,45
ae_nativegates_ibm_tket_8.qasm,350,56,143
qpeexact_nativegates_ibm_tket_8.qasm,373,55,140
qpeinexact_nativegates_ibm_tket_8.qasm,381,56,144
qft_nativegates_ibm_tket_8.qasm,392,68,115
qftentangled_nativegates_ibm_tket_8.qasm,415,75,121
portfoliovqe_nativegates_ibm_tket_8.qasm,288,84,67
portfolioqaoa_nativegates_ibm_tket_8.qasm,975,168,232
