filename,total_gates,cx_gates,depth
tof_3.qasm,43,18,33
barenco_tof_3.qasm,54,24,45
mod5_4.qasm,61,28,52
tof_4.qasm,71,30,54
barenco_tof_4.qasm,106,48,87
tof_5.qasm,99,42,75
mod_mult_55.qasm,115,48,54
vbe_adder_3.qasm,175,62,97
barenco_tof_5.qasm,158,72,129
csla_mux_3.qasm,252,71,83
rc_adder_6.qasm,238,81,116
gf2^4_mult.qasm,212,99,110
tof_10.qasm,239,102,180
mod_red_21.qasm,256,105,173
hwb6.qasm,258,115,177
gf2^5_mult.qasm,327,154,142
csum_mux_9.qasm,420,168,64
barenco_tof_10.qasm,418,192,339
qcla_com_7.qasm,454,174,96
ham15-low.qasm,421,236,283
gf2^6_mult.qasm,464,221,180
qcla_adder_10.qasm,641,213,89
gf2^7_mult.qasm,627,300,215
gf2^8_mult.qasm,819,405,255
qcla_mod_7.qasm,909,366,235
adder_8.qasm,1021,385,267
