filename,total_gates,cx_gates,depth
tof_3.qasm,66,18,49
barenco_tof_3.qasm,80,24,66
mod5_4.qasm,92,28,77
tof_4.qasm,108,30,79
tof_5.qasm,150,42,109
barenco_tof_4.qasm,156,46,127
mod_mult_55.qasm,168,48,76
vbe_adder_3.qasm,206,62,120
barenco_tof_5.qasm,230,68,186
csla_mux_3.qasm,245,71,96
rc_adder_6.qasm,264,81,150
gf2^4_mult.qasm,323,99,161
hwb6.qasm,341,111,233
mod_red_21.qasm,361,105,231
tof_10.qasm,360,102,259
gf2^5_mult.qasm,499,154,206
csum_mux_9.qasm,587,168,93
barenco_tof_10.qasm,600,178,481
ham15-low.qasm,574,225,371
qcla_com_7.qasm,604,174,131
gf2^6_mult.qasm,705,221,263
qcla_adder_10.qasm,717,205,116
gf2^7_mult.qasm,952,300,314
gf2^8_mult.qasm,1232,402,370
qcla_mod_7.qasm,1200,366,314
adder_8.qasm,1279,383,363
vqe_nativegates_ibm_tket_8.qasm,75,14,22
qgan_nativegates_ibm_tket_8.qasm,86,28,28
qaoa_nativegates_ibm_tket_8.qasm,129,32,35
ae_nativegates_ibm_tket_8.qasm,197,56,96
qpeexact_nativegates_ibm_tket_8.qasm,197,55,94
qpeinexact_nativegates_ibm_tket_8.qasm,207,56,98
qft_nativegates_ibm_tket_8.qasm,197,56,76
qftentangled_nativegates_ibm_tket_8.qasm,228,61,116
portfoliovqe_nativegates_ibm_tket_8.qasm,214,84,58
portfolioqaoa_nativegates_ibm_tket_8.qasm,516,168,158
