filename,total_gates,cx_gates,depth
tof_3.qasm,39,18,31
barenco_tof_3.qasm,49,24,42
mod5_4.qasm,57,28,51
tof_4.qasm,64,30,50
barenco_tof_4.qasm,97,46,81
tof_5.qasm,89,42,69
mod_mult_55.qasm,103,48,51
vbe_adder_3.qasm,130,62,81
barenco_tof_5.qasm,144,68,119
csla_mux_3.qasm,149,71,64
rc_adder_6.qasm,164,81,97
gf2^4_mult.qasm,205,99,108
tof_10.qasm,214,102,164
mod_red_21.qasm,223,105,152
hwb6.qasm,217,111,157
gf2^5_mult.qasm,319,154,141
csum_mux_9.qasm,365,168,61
barenco_tof_10.qasm,379,178,309
qcla_com_7.qasm,377,174,88
ham15-low.qasm,392,225,258
gf2^6_mult.qasm,453,221,178
qcla_adder_10.qasm,439,205,78
gf2^7_mult.qasm,614,300,213
gf2^8_mult.qasm,806,402,253
qcla_mod_7.qasm,756,366,211
adder_8.qasm,802,383,243
