filename,total_gates,cx_gates,depth
tof_3.qasm,35,14,31
barenco_tof_3.qasm,40,18,39
mod5_4.qasm,51,28,46
tof_4.qasm,55,22,46
barenco_tof_4.qasm,72,34,70
tof_5.qasm,75,30,61
mod_mult_55.qasm,92,42,50
vbe_adder_3.qasm,89,50,60
barenco_tof_5.qasm,104,50,98
csla_mux_3.qasm,158,74,68
rc_adder_6.qasm,152,71,95
gf2^4_mult.qasm,186,99,102
tof_10.qasm,175,70,136
mod_red_21.qasm,184,81,135
hwb6.qasm,209,104,153
gf2^5_mult.qasm,287,154,131
csum_mux_9.qasm,280,140,46
barenco_tof_10.qasm,264,130,238
qcla_com_7.qasm,269,132,67
ham15-low.qasm,348,210,245
gf2^6_mult.qasm,401,221,166
qcla_adder_10.qasm,416,199,67
gf2^7_mult.qasm,543,300,198
gf2^8_mult.qasm,706,405,235
qcla_mod_7.qasm,678,328,199
adder_8.qasm,596,301,196
